Net,Sta,Lat,Lon,Elev,Start,End
IV,T1204,42.6760 N,13.3167 E,1508,2016,2017
IV,T1211,42.5329 N,12.8551 E,979,2016,2017
IV,T1212,42.7516 N,13.0446 E,869,2016,2017
IV,T1213,42.7249 N,13.1258 E,860,2016,2017
IV,T1214,42.7595 N,13.2087 E,1490,2016,
IV,T1215,42.8019 N,12.8685 E,695,2016,2017
IV,T1216,42.8907 N,13.0190 E,620,2016,2017
IV,T1217,42.7119 N,12.9313 E,1004,2016,2017
IV,T1218,42.6700 N,13.1152 E,1184,2016,2017
IV,T1219,43.0558 N,13.0047 E,717,2016,2017
IV,T1220,43.1102 N,13.0889 E,474,2016,2017
IV,T1221,42.8605 N,12.8470 E,955,2016,
IV,T1222,42.4014 N,13.0367 E,556,2017,2017
IV,T1241,42.8564 N,13.4312 E,664,2016,2017
IV,T1242,42.8292 N,13.2044 E,1451,2016,2016
IV,T1243,42.6966 N,13.4484 E,1120,2016,2017
IV,T1244,42.7570 N,13.2978 E,950,2016,2017
IV,T1245,42.8565 N,13.1880 E,1541,2016,2017
IV,T1246,42.5833 N,13.4930 E,1134,2016,2017
IV,T1247,42.4416 N,13.2983 E,836,2016,
IV,T1256,43.0063 N,13.2260 E,1536,2016,2017
IV,T1299,42.6342 N,13.2822 E,940,2016,
IV,TAV1,43.5890 N,11.1431 E,285,2014,2015
IV,TDS,39.6601 N,16.3376 E,244,2014,
IV,TEOL,45.3617 N,11.6739 E,370,2009,
IV,TERO,42.6228 N,13.6039 E,673,2003,
IV,TOLF,42.0641 N,12.0002 E,371,2003,
IV,TRE1,43.3112 N,13.3128 E,330,2011,
IV,TREG,45.5230 N,11.1606 E,342,2011,
IV,TREM,42.1230 N,15.5100 E,120,2014,
IV,TRIF,43.1148 N,10.9026 E,596,2010,
IV,TRIV,41.7666 N,14.5502 E,598,2005,
IV,TRTR,42.8081 N,13.9138 E,160,2005,
IV,USI,38.7079 N,13.1791 E,285,2003,
IV,VAGA,41.4154 N,14.2342 E,795,2005,
IV,VAI,45.8674 N,8.7684 E,1150,2003,2009
IV,VARE,45.8677 N,8.7700 E,1219,2009,
IV,VARP,40.8165 N,14.4101 E,629,1988,
IV,VBKN,40.8300 N,14.4299 E,951,1988,
IV,VCEL,42.3946 N,13.8406 E,1185,2004,
IV,VCRE,40.8190 N,14.4314 E,1113,1988,
IV,VENL,45.4167 N,12.3765 E,4,2014,
IV,VENT,40.7948 N,13.4216 E,108,2003,
IV,VITU,41.1833 N,14.6302 E,848,2013,
IV,VIVA,41.7502 N,12.7702 E,550,2014,
IV,VMG,43.9617 N,11.5438 E,450,2003,
IV,VOBA,45.6429 N,10.5040 E,292,2011,
IV,VTB1,41.1833 N,14.6301 E,920,2003,2005
IV,VTIR,40.8059 N,14.4242 E,612,2013,
IV,VULT,40.9549 N,15.6163 E,1101,2005,
IV,VVDG,40.8356 N,14.4238 E,855,1988,
IV,VVLD,41.8696 N,13.6232 E,1051,2003,
IV,ZCCA,44.3508 N,10.9765 E,700,2003,
IV,ZEN8,45.6378 N,10.7319 E,596,2010,
IV,ZONE,45.7636 N,10.1171 E,691,2015,
IV,ZOVE,45.4536 N,11.4876 E,376,2011,
IX,AND3,40.9298 N,15.3331 E,905,2013,
IX,AVG3,40.7619 N,15.7251 E,1213,2015,
IX,BEL3,40.7153 N,15.6369 E,758,2008,
IX,BENI,41.1298 N,14.7716 E,75,2015,
IX,BSC3,41.0120 N,15.3852 E,980,2011,
